******************************************************************************
******************************************************************************
Collision strengths (Omega[i,k]) for HE2. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.
******************************************************************************
******************************************************************************

450				!Number of transitions
9                               !Number of T values OMEGA tabulated at
1.0				!Scaling factor for OMEGA (non-FILE values).
0.1				!Value for OMEGA if f=0

Transition\T           0.2         0.5         1.0         2.0         5.0        10.0        20.0        50.0       100.0

 1___-    I         0.0021      0.0053      0.0107      0.0217      0.0559      0.1179      0.2652      0.6630      1.3260
 1___- 2___         0.5431      0.5479      0.5559      0.5714      0.6148      0.6789      0.7866      1.0215      1.2815
 1___- 3___         0.0870      0.0877      0.0887      0.0909      0.0968      0.1058      0.1211      0.1554      0.1942
 1___- 4___       3.02E-02    3.04E-02    3.08E-02    3.15E-02    3.35E-02    3.65E-02    4.16E-02    5.31E-02    6.63E-02
 1___- 5___       1.42E-02    1.43E-02    1.45E-02    1.48E-02    1.57E-02    1.71E-02    1.94E-02    2.48E-02    3.09E-02
 1___- 6___       7.84E-03    7.89E-03    7.98E-03    8.16E-03    8.66E-03    9.41E-03    1.07E-02    1.36E-02    1.70E-02
 1___- 7___       4.80E-03    4.84E-03    4.89E-03    5.00E-03    5.30E-03    5.76E-03    6.54E-03    8.33E-03    1.04E-02
 1___- 8___       3.16E-03    3.18E-03    3.22E-03    3.29E-03    3.48E-03    3.78E-03    4.30E-03    5.47E-03    6.82E-03
 1___- 9___       2.19E-03    2.21E-03    2.23E-03    2.28E-03    2.42E-03    2.62E-03    2.98E-03    3.79E-03    4.73E-03
 1___-10___       1.58E-03    1.60E-03    1.61E-03    1.65E-03    1.75E-03    1.90E-03    2.15E-03    2.74E-03    3.41E-03
 1___-11___       1.18E-03    1.19E-03    1.20E-03    1.23E-03    1.30E-03    1.42E-03    1.61E-03    2.05E-03    2.55E-03
 1___-12___       9.07E-04    9.13E-04    9.23E-04    9.43E-04    9.99E-04    1.08E-03    1.23E-03    1.57E-03    1.95E-03
 1___-13___       7.10E-04    7.15E-04    7.23E-04    7.39E-04    7.83E-04    8.50E-04    9.65E-04    1.23E-03    1.53E-03
 1___-14___       5.67E-04    5.71E-04    5.77E-04    5.90E-04    6.25E-04    6.78E-04    7.70E-04    9.79E-04    1.22E-03
 1___-15___       4.60E-04    4.63E-04    4.68E-04    4.78E-04    5.07E-04    5.50E-04    6.25E-04    7.94E-04    9.89E-04
 1___-16___       3.78E-04    3.81E-04    3.85E-04    3.93E-04    4.17E-04    4.52E-04    5.14E-04    6.53E-04    8.14E-04
 1___-17___       3.15E-04    3.17E-04    3.21E-04    3.27E-04    3.47E-04    3.76E-04    4.27E-04    5.43E-04    6.77E-04
 1___-18___       2.65E-04    2.67E-04    2.70E-04    2.75E-04    2.92E-04    3.17E-04    3.59E-04    4.57E-04    5.69E-04
 1___-19___       2.25E-04    2.27E-04    2.29E-04    2.34E-04    2.48E-04    2.69E-04    3.05E-04    3.88E-04    4.84E-04
 1___-20___       1.93E-04    1.94E-04    1.96E-04    2.00E-04    2.12E-04    2.30E-04    2.62E-04    3.32E-04    4.14E-04
 1___-21___       1.66E-04    1.67E-04    1.69E-04    1.73E-04    1.83E-04    1.99E-04    2.26E-04    2.87E-04    3.57E-04
 1___-22___       1.45E-04    1.46E-04    1.47E-04    1.50E-04    1.59E-04    1.73E-04    1.96E-04    2.49E-04    3.11E-04
 1___-23___       1.26E-04    1.27E-04    1.29E-04    1.31E-04    1.39E-04    1.51E-04    1.72E-04    2.18E-04    2.72E-04
 1___-24___       1.11E-04    1.12E-04    1.13E-04    1.16E-04    1.22E-04    1.33E-04    1.51E-04    1.92E-04    2.39E-04
 1___-25___       9.83E-05    9.90E-05    1.00E-04    1.02E-04    1.08E-04    1.17E-04    1.33E-04    1.70E-04    2.11E-04
 1___-26___       8.74E-05    8.79E-05    8.89E-05    9.08E-05    9.62E-05    1.04E-04    1.19E-04    1.51E-04    1.88E-04
 1___-27___       7.80E-05    7.85E-05    7.94E-05    8.11E-05    8.59E-05    9.32E-05    1.06E-04    1.34E-04    1.68E-04
 1___-28___       6.99E-05    7.04E-05    7.11E-05    7.27E-05    7.70E-05    8.35E-05    9.48E-05    1.21E-04    1.50E-04
 1___-29___       6.29E-05    6.33E-05    6.40E-05    6.54E-05    6.93E-05    7.51E-05    8.53E-05    1.08E-04    1.35E-04
 1___-30___       5.68E-05    5.72E-05    5.78E-05    5.90E-05    6.25E-05    6.79E-05    7.70E-05    9.79E-05    1.22E-04

 2___-    I         0.1561      0.3897      0.7780      1.5500      3.8313      7.5213     14.5076     32.7721     56.4699
 2___- 3___        18.5270     19.3497     20.6236     22.8906     28.2862     34.8063     43.7205     59.0374     72.8585
 2___- 4___         2.5351      2.6207      2.7554      3.0007      3.6074      4.3719      5.4570      7.3946      9.1960
 2___- 5___         0.8454      0.8711      0.9118      0.9864      1.1734      1.4128      1.7574      2.3822      2.9702
 2___- 6___         0.3946      0.4060      0.4241      0.4573      0.5412      0.6493      0.8062      1.0927      1.3641
 2___- 7___         0.2195      0.2256      0.2353      0.2533      0.2989      0.3579      0.4438      0.6016      0.7515
 2___- 8___         0.1360      0.1397      0.1456      0.1566      0.1844      0.2205      0.2733      0.3703      0.4628
 2___- 9___         0.0906      0.0930      0.0969      0.1041      0.1225      0.1463      0.1813      0.2456      0.3070
 2___-10___         0.0636      0.0653      0.0680      0.0731      0.0858      0.1025      0.1269      0.1720      0.2150
 2___-11___         0.0465      0.0477      0.0497      0.0533      0.0626      0.0748      0.0925      0.1254      0.1568
 2___-12___         0.0351      0.0360      0.0375      0.0402      0.0472      0.0563      0.0697      0.0944      0.1181
 2___-13___       2.71E-02    2.79E-02    2.90E-02    3.11E-02    3.65E-02    4.36E-02    5.39E-02    7.30E-02    9.13E-02
 2___-14___       2.15E-02    2.20E-02    2.29E-02    2.46E-02    2.88E-02    3.44E-02    4.25E-02    5.76E-02    7.21E-02
 2___-15___       1.73E-02    1.77E-02    1.84E-02    1.98E-02    2.32E-02    2.77E-02    3.42E-02    4.63E-02    5.80E-02
 2___-16___       1.41E-02    1.45E-02    1.51E-02    1.62E-02    1.89E-02    2.26E-02    2.79E-02    3.79E-02    4.73E-02
 2___-17___       1.17E-02    1.20E-02    1.25E-02    1.34E-02    1.57E-02    1.87E-02    2.31E-02    3.13E-02    3.92E-02
 2___-18___       9.79E-03    1.00E-02    1.04E-02    1.12E-02    1.31E-02    1.57E-02    1.94E-02    2.62E-02    3.28E-02
 2___-19___       8.28E-03    8.50E-03    8.84E-03    9.48E-03    1.11E-02    1.32E-02    1.64E-02    2.22E-02    2.77E-02
 2___-20___       7.07E-03    7.25E-03    7.55E-03    8.09E-03    9.48E-03    1.13E-02    1.40E-02    1.89E-02    2.37E-02
 2___-21___       6.08E-03    6.24E-03    6.49E-03    6.96E-03    8.16E-03    9.72E-03    1.20E-02    1.63E-02    2.04E-02
 2___-22___       5.27E-03    5.41E-03    5.63E-03    6.04E-03    7.07E-03    8.43E-03    1.04E-02    1.41E-02    1.77E-02
 2___-23___       4.60E-03    4.72E-03    4.91E-03    5.27E-03    6.17E-03    7.35E-03    9.09E-03    1.23E-02    1.54E-02
 2___-24___       4.04E-03    4.15E-03    4.31E-03    4.62E-03    5.42E-03    6.45E-03    7.98E-03    1.08E-02    1.35E-02
 2___-25___       3.57E-03    3.66E-03    3.81E-03    4.08E-03    4.78E-03    5.70E-03    7.04E-03    9.54E-03    1.19E-02
 2___-26___       3.16E-03    3.25E-03    3.38E-03    3.62E-03    4.24E-03    5.05E-03    6.25E-03    8.46E-03    1.06E-02
 2___-27___       2.82E-03    2.89E-03    3.01E-03    3.23E-03    3.78E-03    4.50E-03    5.57E-03    7.54E-03    9.44E-03
 2___-28___       2.53E-03    2.59E-03    2.70E-03    2.89E-03    3.38E-03    4.03E-03    4.98E-03    6.75E-03    8.45E-03
 2___-29___       2.27E-03    2.33E-03    2.42E-03    2.60E-03    3.04E-03    3.62E-03    4.48E-03    6.07E-03    7.59E-03
 2___-30___       2.05E-03    2.10E-03    2.19E-03    2.34E-03    2.74E-03    3.27E-03    4.04E-03    5.47E-03    6.85E-03

 3___-    I         1.8595      4.5967      9.0248     17.4111     39.3520     67.8546    106.3803    161.3437    194.9121
 3___- 4___       165.0894    182.8056    207.9384    248.1027    330.2938    415.9782    520.2045    680.6422    814.2699
 3___- 5___        19.6834     21.2441     23.5424     27.3776     35.6827     44.8054     56.3449     74.7443     90.4538
 3___- 6___         6.1767      6.6056      7.2460      8.3326     10.7409     13.4464     16.9290     22.5728     27.4484
 3___- 7___         2.8019      2.9829      3.2550      3.7208      4.7657      5.9538      7.4980     10.0232     12.2192
 3___- 8___         1.5388      1.6340      1.7775      2.0245      2.5826      3.2220      4.0578      5.4325      6.6328
 3___- 9___         0.9475      1.0044      1.0904      1.2390      1.5764      1.9646      2.4743      3.3155      4.0522
 3___-10___         0.6309      0.6680      0.7242      0.8215      1.0433      1.2993      1.6363      2.1940      2.6833
 3___-11___         0.4436      0.4693      0.5084      0.5760      0.7304      0.9092      1.1449      1.5359      1.8793
 3___-12___         0.3252      0.3438      0.3721      0.4213      0.5336      0.6640      0.8361      1.1220      1.3734
 3___-13___         0.2462      0.2602      0.2815      0.3184      0.4031      0.5014      0.6314      0.8474      1.0376
 3___-14___         0.1914      0.2022      0.2186      0.2471      0.3126      0.3888      0.4895      0.6572      0.8049
 3___-15___         0.1518      0.1604      0.1733      0.1959      0.2477      0.3079      0.3877      0.5206      0.6377
 3___-16___         0.1227      0.1296      0.1400      0.1582      0.1999      0.2485      0.3129      0.4202      0.5148
 3___-17___         0.1006      0.1062      0.1147      0.1296      0.1637      0.2035      0.2562      0.3441      0.4216
 3___-18___         0.0837      0.0883      0.0954      0.1077      0.1360      0.1691      0.2129      0.2859      0.3503
 3___-19___         0.0703      0.0742      0.0802      0.0905      0.1143      0.1420      0.1788      0.2401      0.2943
 3___-20___         0.0597      0.0630      0.0681      0.0768      0.0970      0.1205      0.1517      0.2038      0.2497
 3___-21___         0.0511      0.0540      0.0583      0.0658      0.0830      0.1031      0.1298      0.1744      0.2138
 3___-22___         0.0442      0.0466      0.0503      0.0567      0.0716      0.0890      0.1120      0.1505      0.1845
 3___-23___         0.0384      0.0405      0.0437      0.0493      0.0622      0.0773      0.0974      0.1308      0.1603
 3___-24___         0.0336      0.0354      0.0383      0.0432      0.0545      0.0676      0.0852      0.1144      0.1403
 3___-25___         0.0296      0.0312      0.0337      0.0380      0.0479      0.0595      0.0749      0.1007      0.1234
 3___-26___         0.0262      0.0276      0.0298      0.0336      0.0424      0.0527      0.0663      0.0891      0.1092
 3___-27___       2.33E-02    2.46E-02    2.65E-02    2.99E-02    3.77E-02    4.68E-02    5.90E-02    7.92E-02    9.71E-02
 3___-28___       2.08E-02    2.19E-02    2.37E-02    2.67E-02    3.37E-02    4.18E-02    5.27E-02    7.08E-02    8.68E-02
 3___-29___       1.87E-02    1.97E-02    2.12E-02    2.40E-02    3.02E-02    3.75E-02    4.72E-02    6.35E-02    7.78E-02
 3___-30___       1.68E-02    1.77E-02    1.91E-02    2.16E-02    2.72E-02    3.38E-02    4.25E-02    5.72E-02    7.01E-02

 4___-    I        10.8176     26.3880     50.7250     94.1333    193.4729    298.4630    409.5998    527.4395    583.3850
 4___- 5___       847.4794   1001.7361   1201.0385   1490.4875   2020.2570   2522.5819   3094.7645   3927.7969   4596.0376
 4___- 6___        90.1218    102.4951    119.3902    145.3062    195.7632    246.1230    305.5122    394.5140    467.2962
 4___- 7___        26.6713     29.8603     34.3135     41.3080     55.3180     69.6486     86.8433    112.9969    134.6014
 4___- 8___        11.7074     12.9990     14.8242     17.7284     23.6393     29.7717     37.2049     48.6117     58.0920
 4___- 9___         6.3019      6.9622      7.9019      9.4093     12.5084     15.7528     19.7113     25.8212     30.9196
 4___-10___         3.8375      4.2256      4.7806      5.6757      7.5285      9.4801     11.8720     15.5788     18.6805
 4___-11___         2.5370      2.7871      3.1460      3.7270      4.9356      6.2142      7.7865     10.2301     12.2789
 4___-12___         1.7776      1.9496      2.1970      2.5986      3.4369      4.3268      5.4237      7.1321      8.5667
 4___-13___         1.3010      1.4251      1.6039      1.8947      2.5035      3.1514      3.9514      5.1996      6.2490
